cell_site_id,emission_designation,technology,tx_frequency,rx_frequency,azimuth,antenna_gain,back_front_relation,hpa,mechanical_elevation,polarization,antenna_height,tx_power,latitude,longitude,cell_carrier_id
692960724,100MG7W,NR,3450,3450,240,23.5,25,65,8,X,40,200,-3.08778,-60.05694,378dd5f8bdf62b75
692960724,100MG7W,NR,3450,3450,130,23.5,25,65,9,X,40,200,-3.08778,-60.05694,378dd5f8bdf62b76
697489078,100MG7W,NR,3450,3450,350,23.5,25,65,0,X,32,200,-3.10306,-60.05083,378dd5f8bdf62b77
697489078,100MG7W,NR,3450,3450,100,23.5,25,65,0,X,32,200,-3.10306,-60.05083,378dd5f8bdf62b78
697489078,100MG7W,NR,3450,3450,210,23.5,25,65,0,X,32,200,-3.10306,-60.05083,378dd5f8bdf62b79
699820367,100MG7W,NR,3450,3450,50,23.5,25,65,6,X,40,200,-3.07611,-60.07889,378dd5f8bdf62b7a
699820367,100MG7W,NR,3450,3450,160,23.5,25,65,6,X,40,200,-3.07611,-60.07889,378dd5f8bdf62b7b
699820367,100MG7W,NR,3450,3450,300,23.5,25,65,4,X,40,200,-3.07611,-60.07889,378dd5f8bdf62b7c
1000443970,100MG7W,NR,3450,3450,60,23.5,25,65,8,X,37,200,-3.09639,-60.00111,378dd5f8bdf62b80
1000443970,100MG7W,NR,3450,3450,200,23.5,25,65,8,X,37,200,-3.09639,-60.00111,378dd5f8bdf62b81
1000443970,100MG7W,NR,3450,3450,310,23.5,25,65,8,X,37,200,-3.09639,-60.00111,378dd5f8bdf62b82
1000447020,100MG7W,NR,3450,3450,350,25,25,105,8,X,30,200,-3.0975,-60.05056,378dd5f8bdf62b83
1000447020,100MG7W,NR,3450,3450,130,25,25,105,8,X,30,200,-3.0975,-60.05056,378dd5f8bdf62b84
1000447020,100MG7W,NR,3450,3450,230,25,25,105,8,X,30,200,-3.0975,-60.05056,378dd5f8bdf62b85
1000683980,100MG7W,NR,3450,3450,60,23.5,25,65,8,X,40,200,-3.09528,-60.05361,378dd5f8bdf62b8c
1000683980,100MG7W,NR,3450,3450,190,23.5,25,65,8,X,40,200,-3.09528,-60.05361,378dd5f8bdf62b8d
1000683980,100MG7W,NR,3450,3450,300,23.5,25,65,8,X,40,200,-3.09528,-60.05361,378dd5f8bdf62b8e
1005444959,100MG7W,NR,3450,3450,50,23.5,25,65,8,X,27,200,-3.12639,-60.02,378dd5f8bdf62b92
1005444959,100MG7W,NR,3450,3450,160,23.5,25,65,8,X,27,200,-3.12639,-60.02,378dd5f8bdf62b93
1005444959,100MG7W,NR,3450,3450,320,23.5,25,65,8,X,27,200,-3.12639,-60.02,378dd5f8bdf62b94
1010105369,100MG7W,NR,3450,3450,180,23.5,25,65,8,X,40,200,-3.09722,-59.99333,378dd5f8bdf62b98
1010105369,100MG7W,NR,3450,3450,350,23.5,25,65,8,X,40,200,-3.09722,-59.99333,378dd5f8bdf62b99
1010105369,100MG7W,NR,3450,3450,90,23.5,25,65,8,X,40,200,-3.09722,-59.99333,378dd5f8bdf62b9a
1012720478,100MG7W,NR,3450,3450,190,23.5,25,65,0,X,30,200,-3.08429,-60.07579,378dd5f8bdf62b9b
1012720478,100MG7W,NR,3450,3450,330,23.5,25,65,0,X,30,200,-3.08429,-60.07579,378dd5f8bdf62b9c
1012720478,100MG7W,NR,3450,3450,80,23.5,25,65,0,X,30,200,-3.08429,-60.07579,378dd5f8bdf62b9d
699823536,100MG7W,NR,3450,3450,30,23.5,25,65,8,X,40,200,-3.10611,-59.99306,378dd5f8bdf62b9e
699823536,100MG7W,NR,3450,3450,240,23.5,25,65,8,X,40,200,-3.10611,-59.99306,378dd5f8bdf62b9f
699823536,100MG7W,NR,3450,3450,100,23.5,25,65,8,X,40,200,-3.10611,-59.99306,378dd5f8bdf62ba0
622925903,100MG7W,NR,3450,3450,140,25,25,105,0,X,20,200,-3.09417,-60.02306,63add5f8cc026323
622925903,100MG7W,NR,3450,3450,50,25,25,105,7,X,20,200,-3.09417,-60.02306,63add5f8cc026324
622925903,100MG7W,NR,3450,3450,300,25,25,105,6,X,20,200,-3.09417,-60.02306,63add5f8cc026325
442366353,100MG7W,NR,3450,3450,250,25,25,65,2,X,60,200,-3.07222,-59.94861,3b1b75f850cee1e1
442366353,100MG7W,NR,3450,3450,130,25,25,65,3,X,60,200,-3.07222,-59.94861,3b1b75f850cee1e2
442366353,100MG7W,NR,3450,3450,360,25,25,65,3,X,60,200,-3.07222,-59.94861,3b1b75f850cee1e3
1011682521,100MG7W,NR,3450,3450,90,25,25,65,4,X,40,200,-3.03916,-59.91035,3b1b75f850cee1f0
1011682521,100MG7W,NR,3450,3450,180,25,25,65,4,X,40,200,-3.03916,-59.91035,3b1b75f850cee1f1
1011682521,100MG7W,NR,3450,3450,310,25,25,65,4,X,40,200,-3.03916,-59.91035,3b1b75f850cee1f2
691539219,100MG7W,NR,3450,3450,60,25,25,65,6,X,24,200,-3.09778,-60.00667,c80d75f84d7f61b3
691539219,100MG7W,NR,3450,3450,180,25,25,65,6,X,24,200,-3.09778,-60.00667,c80d75f84d7f61b4
691539219,100MG7W,NR,3450,3450,320,25,25,65,6,X,24,200,-3.09778,-60.00667,c80d75f84d7f61b5
1000166306,100MG7W,NR,3450,3450,30,25,25,65,8,X,40,200,-3.102419,-60.061689,c80d75f84d7f61cb
1000166306,100MG7W,NR,3450,3450,120,25,25,65,10,X,40,200,-3.102419,-60.061689,c80d75f84d7f61cc
1000166306,100MG7W,NR,3450,3450,220,25,25,65,11,X,40,200,-3.102419,-60.061689,c80d75f84d7f61cd
1000426022,100MG7W,NR,3450,3450,60,25,25,65,8,X,44,200,-3.11889,-60.04917,f4f275f87155c8ce
1000426022,100MG7W,NR,3450,3450,130,25,25,65,8,X,44,200,-3.11889,-60.04917,f4f275f87155c8cf
1000426022,100MG7W,NR,3450,3450,320,25,25,65,8,X,44,200,-3.11889,-60.04917,f4f275f87155c8d0
1002812329,100MG7W,NR,3450,3450,360,25,25,65,6,X,40,200,-3.07778,-59.99944,f4f275f87155c8d7
1002812329,100MG7W,NR,3450,3450,120,25,25,65,6,X,40,200,-3.07778,-59.99944,f4f275f87155c8d8
1002812329,100MG7W,NR,3450,3450,240,25,25,65,6,X,40,200,-3.07778,-59.99944,f4f275f87155c8d9
1005406518,100MG7W,NR,3450,3450,50,25,25,65,6,X,45,200,-3.06556,-60.01528,f4f275f87155c8da
1005406518,100MG7W,NR,3450,3450,290,25,25,65,6,X,45,200,-3.06556,-60.01528,f4f275f87155c8db
1005406518,100MG7W,NR,3450,3450,160,25,25,65,6,X,45,200,-3.06556,-60.01528,f4f275f87155c8dc
682774936,100MG7W,NR,3450,3450,50,25,25,65,0,X,30,200,-3.11639,-60.03528,f4f275f87155c8ec
682774936,100MG7W,NR,3450,3450,260,25,25,65,0,X,30,200,-3.11639,-60.03528,f4f275f87155c8ed
682774936,100MG7W,NR,3450,3450,120,25,25,65,0,X,30,200,-3.11639,-60.03528,f4f275f87155c8ee
689850239,100MG7W,NR,3450,3450,360,25,25,65,6,X,46,200,-3.00917,-59.99083,f4f275f87155c8f2
689850239,100MG7W,NR,3450,3450,90,25,25,65,6,X,46,200,-3.00917,-59.99083,f4f275f87155c8f3
689850239,100MG7W,NR,3450,3450,170,25,25,65,6,X,46,200,-3.00917,-59.99083,f4f275f87155c8f4
689979991,100MG7W,NR,3450,3450,60,25,25,65,6,X,45,200,-3.10361,-59.95667,f4f275f87155c8f5
689979991,100MG7W,NR,3450,3450,190,25,25,65,6,X,50,200,-3.10361,-59.95667,f4f275f87155c8f6
689979991,100MG7W,NR,3450,3450,280,25,25,65,6,X,43,200,-3.10361,-59.95667,f4f275f87155c8f7
692276300,100MG7W,NR,3450,3450,360,25,25,65,8,X,34,200,-3.07556,-60.01972,f4f275f87155c8f8
692276300,100MG7W,NR,3450,3450,120,25,25,65,11,X,34,200,-3.07556,-60.01972,f4f275f87155c8f9
692276300,100MG7W,NR,3450,3450,240,25,25,65,8,X,34,200,-3.07556,-60.01972,f4f275f87155c8fa
699823650,100MG7W,NR,3450,3450,75,25,25,65,8,X,40,200,-3.09194,-60.06889,f4f275f87155c8fb
699823650,100MG7W,NR,3450,3450,190,25,25,65,8,X,40,200,-3.09194,-60.06889,f4f275f87155c8fc
699823650,100MG7W,NR,3450,3450,285,25,25,65,8,X,40,200,-3.09194,-60.06889,f4f275f87155c8fd
689847599,100MG7W,NR,3450,3450,280,25,25,105,-4,X,27,31.62,-3.143782,-60.009315,f70cc5f803b5ee21
689847599,100MG7W,NR,3450,3450,130,25,25,105,-4,X,27,31.62,-3.143782,-60.009315,f70cc5f803b5ee22
689847599,100MG7W,NR,3450,3450,30,25,25,105,-4,X,27,31.62,-3.143782,-60.009315,f70cc5f803b5ee23
442366396,100MG7W,NR,3450,3450,170,25,25,105,-4,X,60,200,-3.05111,-59.99306,f70cc5f803d1f827
442366396,100MG7W,NR,3450,3450,40,25,25,105,-4,X,60,200,-3.05111,-59.99306,f70cc5f803d1f828
442366396,100MG7W,NR,3450,3450,290,25,25,105,-4,X,60,200,-3.05111,-59.99306,f70cc5f803d1f829
699821371,100MG7W,NR,3450,3450,230,25,25,105,-4,X,52,200,-3.08583,-60.01,f70cc5f803d1f9f7
699821371,100MG7W,NR,3450,3450,320,25,25,105,-4,X,52,200,-3.08583,-60.01,f70cc5f803d1f9f8
699821371,100MG7W,NR,3450,3450,160,25,25,105,-4,X,52,200,-3.08583,-60.01,f70cc5f803d1f9f9
442035373,100MG7W,NR,3450,3450,360,23.5,25,65,10,X,45,200,-3.06472,-60.04361,d97fd5f80216c896
442035373,100MG7W,NR,3450,3450,120,23.5,25,65,10,X,45,200,-3.06472,-60.04361,d97fd5f80216c897
442035373,100MG7W,NR,3450,3450,240,23.5,25,65,8,X,45,200,-3.06472,-60.04361,d97fd5f80216c898
442954123,100MG7W,NR,3450,3450,160,23.5,25,65,10,X,60,200,-3.04194,-59.92889,d97fd5f80216c932
442954123,100MG7W,NR,3450,3450,290,23.5,25,65,10,X,60,200,-3.04194,-59.92889,d97fd5f80216c933
442954123,100MG7W,NR,3450,3450,40,23.5,25,65,8,X,60,200,-3.04194,-59.92889,d97fd5f80216c934
697489124,100MG7W,NR,3450,3450,340,23.5,25,65,10,X,33,200,-3.05444,-59.98361,d97fd5f80216cb80
697489124,100MG7W,NR,3450,3450,120,23.5,25,65,10,X,36,200,-3.05444,-59.98361,d97fd5f80216cb81
697489124,100MG7W,NR,3450,3450,220,23.5,25,65,8,X,33,200,-3.05444,-59.98361,d97fd5f80216cb82
699820782,100MG7W,NR,3450,3450,50,23.5,25,65,10,X,40,200,-3.08028,-60.0575,d97fd5f80216cb98
699820782,100MG7W,NR,3450,3450,150,23.5,25,65,10,X,40,200,-3.08028,-60.0575,d97fd5f80216cb99
699820782,100MG7W,NR,3450,3450,220,23.5,25,65,8,X,40,200,-3.08028,-60.0575,d97fd5f80216cb9a
1000027560,100MG7W,NR,3450,3450,190,23.5,25,65,10,X,40,200,-3.02139,-59.94583,d97fd5f80216cbe7
1000027560,100MG7W,NR,3450,3450,290,23.5,25,65,10,X,40,200,-3.02139,-59.94583,d97fd5f80216cbe8
1000027560,100MG7W,NR,3450,3450,60,23.5,25,65,8,X,40,200,-3.02139,-59.94583,d97fd5f80216cbe9
1012304784,100MG7W,NR,3450,3450,90,23.5,25,65,10,X,18,200,-3.03469,-59.9938,d97fd5f80216cc29
1012304784,100MG7W,NR,3450,3450,210,23.5,25,65,10,X,18,200,-3.03469,-59.9938,d97fd5f80216cc2a
1012304784,100MG7W,NR,3450,3450,330,23.5,25,65,8,X,18,200,-3.03469,-59.9938,d97fd5f80216cc2b
442954123,100MG7W,NR,3450,3450,160,25,25,65,-5,X,60,200,-3.04194,-59.92889,1a6cd5f802666874
442954123,100MG7W,NR,3450,3450,40,25,25,65,-5,X,60,200,-3.04194,-59.92889,1a6cd5f802666875
442954123,100MG7W,NR,3450,3450,290,25,25,65,-5,X,60,200,-3.04194,-59.92889,1a6cd5f802666876
689980000,100MG7W,NR,3450,3450,240,25,25,65,-5,X,42,200,-3.02917,-59.97694,1a6cd5f8026669cb
689980000,100MG7W,NR,3450,3450,360,25,25,65,-5,X,42,200,-3.02917,-59.97694,1a6cd5f8026669cc
689980000,100MG7W,NR,3450,3450,120,25,25,65,-5,X,42,200,-3.02917,-59.97694,1a6cd5f8026669cd
690372760,100MG7W,NR,3450,3450,90,25,25,65,-5,X,40,200,-3.11944,-59.98917,1a6cd5f802666a25
690372760,100MG7W,NR,3450,3450,210,25,25,65,-5,X,40,200,-3.11944,-59.98917,1a6cd5f802666a26
690372760,100MG7W,NR,3450,3450,340,25,25,65,-5,X,40,200,-3.11944,-59.98917,1a6cd5f802666a27
691365156,100MG7W,NR,3450,3450,80,25,25,65,-5,X,40,200,-3.10139,-60.06583,1a6cd5f802666ac6
691365156,100MG7W,NR,3450,3450,230,25,25,65,-5,X,40,200,-3.10139,-60.06583,1a6cd5f802666ac7
691365156,100MG7W,NR,3450,3450,350,25,25,65,-5,X,40,200,-3.10139,-60.06583,1a6cd5f802666ac8
691365512,100MG7W,NR,3450,3450,10,25,25,65,-5,X,29,200,-3.07778,-60.00778,1a6cd5f802666b08
691365512,100MG7W,NR,3450,3450,210,25,25,65,-5,X,29,200,-3.07778,-60.00778,1a6cd5f802666b09
691365512,100MG7W,NR,3450,3450,295,25,25,65,-5,X,29,200,-3.07778,-60.00778,1a6cd5f802666b0a
697700232,100MG7W,NR,3450,3450,350,25,25,65,-5,X,18,200,-3.07889,-60.02472,1a6cd5f802666d9e
697700232,100MG7W,NR,3450,3450,240,25,25,65,-5,X,18,200,-3.07889,-60.02472,1a6cd5f802666d9f
697700232,100MG7W,NR,3450,3450,100,25,25,65,-5,X,18,200,-3.07889,-60.02472,1a6cd5f802666da0
698341627,100MG7W,NR,3450,3450,270,25,25,65,-5,X,23,200,-3.09472,-60.03556,1a6cd5f802666e34
698341627,100MG7W,NR,3450,3450,70,25,25,65,-5,X,23,200,-3.09472,-60.03556,1a6cd5f802666e35
698341627,100MG7W,NR,3450,3450,140,25,25,65,-5,X,23,200,-3.09472,-60.03556,1a6cd5f802666e36
699072271,100MG7W,NR,3450,3450,40,25,25,65,-5,X,40,200,-3.07889,-60.07028,1a6cd5f802666e67
699072271,100MG7W,NR,3450,3450,160,25,25,65,-5,X,40,200,-3.07889,-60.07028,1a6cd5f802666e68
699072271,100MG7W,NR,3450,3450,280,25,25,65,-5,X,40,200,-3.07889,-60.07028,1a6cd5f802666e69
699389917,100MG7W,NR,3450,3450,360,25,25,65,-5,X,50,200,-2.97417,-59.99028,1a6cd5f802666ebb
699389917,100MG7W,NR,3450,3450,140,25,25,65,-5,X,50,200,-2.97417,-59.99028,1a6cd5f802666ebc
699389917,100MG7W,NR,3450,3450,270,25,25,65,-5,X,50,200,-2.97417,-59.99028,1a6cd5f802666ebd
699392276,100MG7W,NR,3450,3450,270,25,25,65,-5,X,16,31.62,-3.08167,-60.01361,1a6cd5f802666f06
699392276,100MG7W,NR,3450,3450,360,25,25,65,-5,X,16,31.62,-3.08167,-60.01361,1a6cd5f802666f07
699392276,100MG7W,NR,3450,3450,130,25,25,65,-5,X,16,31.62,-3.08167,-60.01361,1a6cd5f802666f08
1000632862,100MG7W,NR,3450,3450,40,25,25,65,-5,X,40,200,-3.01778,-59.94722,1a6cd5f80266700e
1000632862,100MG7W,NR,3450,3450,160,25,25,65,-5,X,40,200,-3.01778,-59.94722,1a6cd5f80266700f
1000632862,100MG7W,NR,3450,3450,270,25,25,65,-5,X,40,200,-3.01778,-59.94722,1a6cd5f802667010
1002858094,100MG7W,NR,3450,3450,20,25,25,65,-5,X,40,200,-3.02806,-59.98861,1a6cd5f802667053
1002858094,100MG7W,NR,3450,3450,220,25,25,65,-5,X,40,200,-3.02806,-59.98861,1a6cd5f802667054
1002858094,100MG7W,NR,3450,3450,320,25,25,65,-5,X,40,200,-3.02806,-59.98861,1a6cd5f802667055
1012304806,100MG7W,NR,3450,3450,360,25,25,65,-5,X,17,200,-3.03914,-59.93611,1a6cd5f802667094
1012304806,100MG7W,NR,3450,3450,120,25,25,65,-5,X,17,200,-3.03914,-59.93611,1a6cd5f802667095
1012304806,100MG7W,NR,3450,3450,240,25,25,65,-5,X,17,200,-3.03914,-59.93611,1a6cd5f802667096
1014943954,100MG7W,NR,3450,3450,140,25,25,65,-5,X,17,200,-3.117444,-60.011722,1a6cd5f802667118
1014943954,100MG7W,NR,3450,3450,20,25,25,65,-5,X,17,200,-3.117444,-60.011722,1a6cd5f802667119
1014943954,100MG7W,NR,3450,3450,260,25,25,65,-5,X,17,200,-3.117444,-60.011722,1a6cd5f80266711a
442035373,100MG7W,NR,3450,3450,360,23.5,25,65,10,X,45,200,-3.06472,-60.04361,292ce5f80291e6b1
442035373,100MG7W,NR,3450,3450,120,23.5,25,65,10,X,45,200,-3.06472,-60.04361,292ce5f80291e6b2
442035373,100MG7W,NR,3450,3450,240,23.5,25,65,8,X,45,200,-3.06472,-60.04361,292ce5f80291e6b3
442954123,100MG7W,NR,3450,3450,160,23.5,25,65,10,X,60,200,-3.04194,-59.92889,292ce5f80291e750
442954123,100MG7W,NR,3450,3450,290,23.5,25,65,10,X,60,200,-3.04194,-59.92889,292ce5f80291e751
442954123,100MG7W,NR,3450,3450,40,23.5,25,65,8,X,60,200,-3.04194,-59.92889,292ce5f80291e752
1000027560,100MG7W,NR,3450,3450,190,23.5,25,65,10,X,40,200,-3.02139,-59.94583,292ce5f80291e7dd
1000027560,100MG7W,NR,3450,3450,290,23.5,25,65,10,X,40,200,-3.02139,-59.94583,292ce5f80291e7de
1000027560,100MG7W,NR,3450,3450,60,23.5,25,65,8,X,40,200,-3.02139,-59.94583,292ce5f80291e7df